"Name","Start","End","Duration"
"Power off","9/23/2019 12:05:24 PM","9/23/2019 12:20:25 PM","0:15:01"
"Session lock","9/23/2019 12:20:25 PM","9/23/2019 12:21:00 PM","0:00:35"
"Power off","9/23/2019 12:21:00 PM","9/23/2019 2:14:00 PM","1:53:00"
"Session lock","9/23/2019 2:14:00 PM","9/23/2019 2:14:09 PM","0:00:09"
"Active","9/23/2019 2:14:09 PM","9/23/2019 2:27:06 PM","0:12:57"
"Power off","9/23/2019 2:27:06 PM","9/23/2019 5:05:50 PM","2:38:44"
"Session lock","9/23/2019 5:05:50 PM","9/23/2019 5:07:53 PM","0:02:03"
"Active","9/23/2019 5:07:53 PM","9/23/2019 5:15:30 PM","0:07:37"
"Away","9/23/2019 5:15:30 PM","9/23/2019 5:16:53 PM","0:01:23"
"Power off","9/23/2019 5:16:53 PM","9/23/2019 5:54:55 PM","0:38:02"
"Session lock","9/23/2019 5:54:55 PM","9/23/2019 5:55:00 PM","0:00:05"
"Active","9/23/2019 5:55:00 PM","9/23/2019 6:12:59 PM","0:17:59"
"Active","9/24/2019 8:06:39 AM","9/24/2019 8:21:39 AM","0:15:00"
"Away","9/24/2019 8:21:39 AM","9/24/2019 8:33:38 AM","0:11:59"
"Active","9/24/2019 8:33:38 AM","9/24/2019 9:02:37 AM","0:28:59"
"Power off","9/24/2019 9:02:37 AM","9/24/2019 9:03:47 AM","0:01:10"
"Active","9/24/2019 9:03:47 AM","9/24/2019 9:09:45 AM","0:05:58"
"Power off","9/24/2019 9:09:45 AM","9/24/2019 9:12:52 AM","0:03:07"
"Session lock","9/24/2019 9:12:52 AM","9/24/2019 9:13:03 AM","0:00:11"
"Active","9/24/2019 9:13:03 AM","9/24/2019 9:31:25 AM","0:18:22"
"Power off","9/24/2019 9:31:25 AM","9/24/2019 9:55:58 AM","0:24:33"
"Session lock","9/24/2019 9:55:58 AM","9/24/2019 9:56:07 AM","0:00:09"
"Active","9/24/2019 9:56:07 AM","9/24/2019 9:58:55 AM","0:02:48"
"Away","9/24/2019 9:58:55 AM","9/24/2019 10:01:34 AM","0:02:39"
"Power off","9/24/2019 10:01:34 AM","9/24/2019 10:11:04 AM","0:09:30"
"Session lock","9/24/2019 10:11:04 AM","9/24/2019 10:11:09 AM","0:00:05"
"Active","9/24/2019 10:11:09 AM","9/24/2019 10:43:54 AM","0:32:45"
"Away","9/24/2019 10:43:54 AM","9/24/2019 10:44:00 AM","0:00:06"
"Power off","9/24/2019 10:44:00 AM","9/24/2019 10:45:43 AM","0:01:43"
"Session lock","9/24/2019 10:45:43 AM","9/24/2019 10:45:48 AM","0:00:05"
"Active","9/24/2019 10:45:48 AM","9/24/2019 11:54:46 AM","1:08:58"
"Away","9/24/2019 11:54:46 AM","9/24/2019 11:58:24 AM","0:03:38"
"Power off","9/24/2019 11:58:24 AM","9/24/2019 1:10:05 PM","1:11:41"
"Session lock","9/24/2019 1:10:05 PM","9/24/2019 1:10:10 PM","0:00:05"
"Active","9/24/2019 1:10:10 PM","9/24/2019 1:10:57 PM","0:00:47"
"Away","9/24/2019 1:10:57 PM","9/24/2019 1:18:30 PM","0:07:33"
"Power off","9/24/2019 1:18:30 PM","9/24/2019 3:18:46 PM","2:00:16"
"Session lock","9/24/2019 3:18:46 PM","9/24/2019 3:18:55 PM","0:00:09"
"Active","9/24/2019 3:18:55 PM","9/24/2019 4:01:02 PM","0:42:07"
"Away","9/24/2019 4:01:02 PM","9/24/2019 4:27:35 PM","0:26:33"
"Active","9/24/2019 4:27:35 PM","9/24/2019 4:27:59 PM","0:00:24"
"Active","9/25/2019 8:01:08 AM","9/25/2019 8:55:51 AM","0:54:43"
"Away","9/25/2019 8:55:51 AM","9/25/2019 8:55:57 AM","0:00:06"
"Power off","9/25/2019 8:55:57 AM","9/25/2019 9:01:16 AM","0:05:19"
"Session lock","9/25/2019 9:01:16 AM","9/25/2019 9:01:24 AM","0:00:08"
"Active","9/25/2019 9:01:24 AM","9/25/2019 10:47:17 AM","1:45:53"
"Power off","9/25/2019 10:47:17 AM","9/25/2019 10:51:25 AM","0:04:08"
"Session lock","9/25/2019 10:51:25 AM","9/25/2019 10:51:30 AM","0:00:05"
"Active","9/25/2019 10:51:30 AM","9/25/2019 11:31:54 AM","0:40:24"
"Away","9/25/2019 11:31:54 AM","9/25/2019 11:32:01 AM","0:00:07"
"Power off","9/25/2019 11:32:01 AM","9/25/2019 11:44:06 AM","0:12:05"
"Session lock","9/25/2019 11:44:06 AM","9/25/2019 11:44:13 AM","0:00:07"
"Active","9/25/2019 11:44:13 AM","9/25/2019 11:46:41 AM","0:02:28"
"Power off","9/25/2019 11:46:41 AM","9/25/2019 11:48:04 AM","0:01:23"
"Session lock","9/25/2019 11:48:04 AM","9/25/2019 11:52:32 AM","0:04:28"
"Active","9/25/2019 11:52:32 AM","9/25/2019 11:57:11 AM","0:04:39"
"Power off","9/25/2019 11:57:11 AM","9/25/2019 3:38:10 PM","3:40:59"
"Session lock","9/25/2019 3:38:10 PM","9/25/2019 3:38:15 PM","0:00:05"
"Active","9/25/2019 3:38:15 PM","9/25/2019 3:44:06 PM","0:05:51"
"Away","9/25/2019 3:44:06 PM","9/25/2019 3:55:26 PM","0:11:20"
"Active","9/25/2019 3:55:26 PM","9/25/2019 4:17:49 PM","0:22:23"
"Power off","9/25/2019 4:17:49 PM","9/25/2019 4:31:02 PM","0:13:13"
"Session lock","9/25/2019 4:31:02 PM","9/25/2019 4:31:10 PM","0:00:08"
"Active","9/25/2019 4:31:10 PM","9/25/2019 4:40:52 PM","0:09:42"
"Away","9/25/2019 4:40:52 PM","9/25/2019 5:19:30 PM","0:38:38"
"Active","9/25/2019 5:19:30 PM","9/25/2019 5:20:46 PM","0:01:16"
"Away","9/25/2019 5:20:46 PM","9/25/2019 5:34:07 PM","0:13:21"
"Active","9/25/2019 5:34:07 PM","9/25/2019 5:34:25 PM","0:00:18"
"Power off","9/25/2019 5:34:25 PM","9/25/2019 5:37:52 PM","0:03:27"
"Active","9/25/2019 5:37:52 PM","9/25/2019 5:47:59 PM","0:10:07"
"Away","9/25/2019 5:47:59 PM","9/25/2019 6:02:46 PM","0:14:47"
"Active","9/25/2019 6:02:46 PM","9/25/2019 6:19:21 PM","0:16:35"
"Away","9/25/2019 6:19:21 PM","9/25/2019 6:19:27 PM","0:00:06"
"Power off","9/25/2019 6:19:27 PM","9/25/2019 7:20:33 PM","1:01:06"
"Session lock","9/25/2019 7:20:33 PM","9/25/2019 7:20:40 PM","0:00:07"
"Active","9/25/2019 7:20:40 PM","9/25/2019 9:01:18 PM","1:40:38"
"Away","9/25/2019 9:01:18 PM","9/25/2019 9:27:16 PM","0:25:58"
"Active","9/25/2019 9:27:16 PM","9/25/2019 9:28:19 PM","0:01:03"
"Away","9/25/2019 9:28:19 PM","9/25/2019 9:54:48 PM","0:26:29"
