Name,Start,End,Duration,Process
Dark Sky API: Developer Console - Google Chrome,9/12/2019 9:33,9/12/2019 9:34,0:00:37,Google Chrome
Dark Sky API Documentation (darkskyapis) | RapidAPI - Google Chrome,9/12/2019 9:34,9/12/2019 9:35,0:00:40,Google Chrome
Cortana,9/12/2019 9:35,9/12/2019 9:35,0:00:06,Search and Cortana application
Atom,9/12/2019 9:35,9/12/2019 9:35,0:00:05,Atom
messages.html — C:\Users\megha\Desktop\Misc\Fall 2018 Class\mkkzl.github.io — Atom,9/12/2019 9:35,9/12/2019 9:35,0:00:10,Atom
Pro1ect — C:\Users\megha\Desktop\Misc\Fall 2018 Class\mkkzl.github.io — Atom,9/12/2019 9:35,9/12/2019 9:35,0:00:08,Atom
get_weather.1s — C:\Users\megha\Desktop\Misc\Fall 2018 Class\mkkzl.github.io — Atom,9/12/2019 9:35,9/12/2019 9:35,0:00:09,Atom
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:35,9/12/2019 9:36,0:00:14,Google Chrome
New Tab - Google Chrome,9/12/2019 9:36,9/12/2019 9:36,0:00:06,Google Chrome
gainesville florida latitude and longitude - Google Search - Google Chrome,9/12/2019 9:36,9/12/2019 9:36,0:00:16,Google Chrome
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:36,9/12/2019 9:36,0:00:13,Google Chrome
gainesville florida latitude and longitude - Google Search - Google Chrome,9/12/2019 9:36,9/12/2019 9:36,0:00:06,Google Chrome
get_weather.1s — C:\Users\megha\Desktop\Misc\Fall 2018 Class\mkkzl.github.io — Atom,9/12/2019 9:36,9/12/2019 9:36,0:00:05,Atom
gainesville florida latitude and longitude - Google Search - Google Chrome,9/12/2019 9:36,9/12/2019 9:36,0:00:06,Google Chrome
get_weather.1s — C:\Users\megha\Desktop\Misc\Fall 2018 Class\mkkzl.github.io — Atom,9/12/2019 9:36,9/12/2019 9:36,0:00:06,Atom
Dark Sky API: Developer Console - Google Chrome,9/12/2019 9:36,9/12/2019 9:37,0:00:07,Google Chrome
